priority,source_id,source_name,country_region,source_type,size,license,recommended_usage,url,risk,notes
P0,mendeley_bilingual_1000,Image-to-Text Bilingual Dataset from Medical Prescriptions,Bangladesh,full-page handwritten prescription images + CSV text annotations,1000 prescription images,CC BY 4.0,core evaluation + train/val/test split,https://data.mendeley.com/datasets/tg2hm7n2bs/2,Public dataset; avoid merely repackaging. Re-annotate/normalize into MedRxOCR JSON schema and provide new evaluation protocol.,Contains Bangla/English annotations; identifying patient features blacked out according to source description.
P0,mendeley_bd_200_yolo,A Curated Bangladesh-Based Dataset of Handwritten and Printed Prescription Images,Bangladesh,de-identified full prescription images + YOLO medicine-name boxes,200 prescription images,CC BY 4.0,medicine-region detection eval + full-page hard cases,https://data.mendeley.com/datasets/k62rfd23kz/2,Only medicine-name boxes; needs OCR/KIE annotation if used for structured extraction.,"Includes printed, handwritten, Bangla, English, mixed prescriptions; direct identifiers removed according to source description."
P0,rxhandbd_5578,RxHandBD: A Handwritten Prescription Word Image Dataset,Bangladesh,cropped handwritten prescription words,5578 word images; 4463 train / 1115 test; 1559 unique entries,CC BY 4.0,word-level handwritten drug/instruction recognition subtask,https://data.mendeley.com/datasets/dsb5r6vskg/3,"Word-level only, not full prescription. Do not overclaim full-page structured understanding.",Good for medication-word robustness and subtask metrics.
P1,roboflow_prescription_ocr,Roboflow Handwritten Prescription OCR,International,prescription object detection dataset,"about 210 images / 222 classes, per Roboflow page",CC BY 4.0 on dataset page,supplemental region detection / hard-case detection,https://universe.roboflow.com/east-west-university-qetw4/handwritten-prescription-ocr-p3wnp,Roboflow exports can contain duplicates or resized variants; audit before use.,Use only after duplicate and license check.
P1,chip2022_medical_invoice_ocr,CHIP2022 医疗清单发票 OCR 要素提取任务,China,medical invoice/outpatient/inpatient/discharge-summary OCR/KIE,dataset page reports medical bill materials; exact split must be checked after login/download,Tianchi dataset terms; verify redistribution before public release,Chinese medical document KIE auxiliary training only; not core prescription eval,https://tianchi.aliyun.com/dataset/131815,Likely requires account; redistribution terms must be checked.,Useful for Chinese medical form/table extraction robustness.
P1,chinese_med_lab_238,中文医疗化验单数据集 Chinese Medical Laboratory Dataset,China,medical lab-sheet document images with tables,238 document images; each image includes two tables,Tianchi dataset terms; verify redistribution before public release,Chinese medical table/layout auxiliary training only,https://tianchi.aliyun.com/dataset/126039,Not prescriptions; use only for auxiliary table/KIE robustness.,Supports healthcare document layout generalization.
P2,casia_hwdb,CASIA Online and Offline Chinese Handwriting Databases,China,Chinese handwriting isolated characters and continuous text,samples from 1020 writers,Check CASIA/NLPR terms before use,Chinese handwriting auxiliary pretraining/augmentation only,https://nlpr.ia.ac.cn/databases/handwriting/home.html,Not medical; not prescriptions; licensing/application may be required.,Use only as handwriting-domain auxiliary data if terms permit.
P2,scut_hccdoc,SCUT-HCCDoc,China,camera-captured Chinese handwritten document images,12253 images; 116629 text lines; 1155801 characters,Check release terms; often non-commercial research use,Chinese camera-captured handwriting auxiliary training only,https://github.com/HCIILAB/SCUT-HCCDoc_Dataset_Release,Not medical; possible application/restriction; do not redistribute without permission.,Use only if allowed by release conditions.
LEXICON,rxnorm,RxNorm,US,normalized clinical drug vocabulary,NLM-maintained drug terminology,See NLM/RxNorm terms,English drug-name normalization and fuzzy correction,https://www.nlm.nih.gov/research/umls/rxnorm/index.html,Terminology only; not OCR images.,Use for drug_name_normalized field and abbreviation/brand mapping.
LEXICON,openfda_drug_label,openFDA Drug Labeling API,US,prescription/OTC drug product label API,FDA labeling data API,US government/public data; verify endpoint terms,drug label terms and medication vocabulary enrichment,https://open.fda.gov/apis/drug/label/,Not prescription images; API terms/rate limits apply.,Use for lexicon enrichment only.
LEXICON,nmpa_data_search,国家药监局数据查询,China,Chinese drug regulatory database search,official searchable drug/enterprise/regulatory records,Official query portal; scraping/reuse terms must be checked,manual Chinese drug-name lexicon construction / schema discussion,https://www.nmpa.gov.cn/datasearch/home-index.html,Avoid aggressive scraping; use manual/limited lexicon or cite as reference.,Use to justify Chinese drug normalization design.
